Nama Kafe;Skor_Rasa;Skor_Pelayanan;Skor_Fasilitas;Skor_Suasana;Skor_Harga;Skor_Rating
20 kopi purnawirawan;5;5;5;5;3;5
mizzyu coffee;5;5;5;5;3;5
moore coffee & pastry;5;5;5;5;3;5
moro loko;5;5;5;5;3;5
muara cafe & sapace;5;5;5;5;3;5
mujur coffee;5;5;5;5;3;5
nako coffee shop;5;5;5;5;3;5
nopi kopi cafe;5;5;5;5;3;5
mikano kopi;5;5;5;5;3;5
nuju coffe pahoman;5;5;5;5;3;5
nuju coffee HQ;5;5;5;5;3;5
nuju coffee gedong air;5;5;5;5;3;5
nuju coffee kedaton;5;5;5;5;3;5
nuju coffee kemiling;5;5;5;5;3;5
nuju coffee rajabasa;5;5;5;5;3;5
nuju coffee sudirman;5;5;5;5;3;5
nuju coffee sukarame;5;5;5;5;3;5
nuju coffee & space;5;5;5;5;3;5
marley's cafe coffee& resto;5;5;5;5;3;5
manca lite;5;5;5;5;3;5
mahira coffee;5;5;5;5;3;5
kopi ketje experience;5;5;5;5;3;5
kopi ketje korpri;5;5;5;5;3;5
kopi ketje panglima polim;5;5;5;5;3;5
kopi ketje pramuka;5;5;5;5;3;5
kopi ketje teluk;5;5;5;5;3;5
kopi sheo pagar alam;5;5;5;5;3;5
zet coffee;5;5;5;5;3;5
kopi sudut bandar lampung;5;5;5;5;3;5
kopi tujuan kita cafe & working space;5;5;5;5;3;5
kopikorkanmu;5;5;5;5;3;5
kowen coffee;5;5;5;5;3;5
kyafe;5;5;5;5;3;5
la ko pi cafe & hangout spot;5;5;5;5;3;5
la vissuon;5;5;5;5;3;5
langit kopi;5;5;5;5;3;5
lex coffee;5;5;5;5;3;5
liqo;5;5;5;5;3;5
oma backyard;5;5;5;5;3;5
kopi kenangan antasari;5;5;5;5;3;5
OMA Backyard Gatsu Coffee & Co;5;5;5;5;3;5
panorama coffee;5;5;5;5;3;5
titik balik;5;5;5;5;3;5
laidback café;5;5;5;5;3;5
toko mansure;5;5;5;5;3;5
tokopi leipe;5;5;5;5;3;5
tomoro coffee kemiling;5;5;5;5;3;5
tomoro coffee pramuka;5;5;5;5;3;5
tomoro coffee raden intan;5;5;5;5;3;5
the palm;5;5;5;5;3;5
tomoro coffee teuku umar;5;5;5;5;3;5
tonecoffee.id;5;5;5;5;3;5
tukamu coffee & tea house no.1;5;5;5;5;3;5
tukamu coffee & tea house no.2;5;5;5;5;3;5
tukamu coffee & tea house no.3;5;5;5;5;3;5
vezco sultan agung;5;5;5;5;3;5
warkomunal;5;5;5;5;3;5
warkop jasund;5;5;5;5;3;5
tomoro coffee unila;5;5;5;5;3;5
the oliv;5;5;5;5;3;5
the habits coffee;5;5;5;5;3;5
the gade coffee & gold lampung;5;5;5;5;3;5
peachy keen bar;5;5;5;5;3;5
pm coffee;5;5;5;5;3;5
podcast coffee;5;5;5;5;3;5
point coffee;5;5;5;5;3;5
poyz coffee;5;5;5;5;3;5
qalu coffee;5;5;5;5;3;5
sakara coffee;5;5;5;5;3;5
se.ndja;5;5;5;5;3;5
shots coffee;5;5;5;5;3;5
sinia coffee;5;5;5;5;3;5
starbucks ahmad yani;5;5;5;5;3;5
starbucks antasari;5;5;5;5;3;5
stone coffee;5;5;5;5;3;5
stop one cafe;5;5;5;5;3;5
sugarnishe coffee;5;5;5;5;3;5
sure coffee;5;5;5;5;3;5
tarra coffee;5;5;5;5;3;5
one shoot coffee;5;5;5;5;3;5
kopi kenangan ahmad yani;5;5;5;5;3;5
zozo garden;5;5;5;5;3;5
djawara;5;5;5;5;3;5
faste coffee rajabasa;5;5;5;5;3;5
faste coffee kedaton;5;5;5;5;3;5
bun kopi pahoman;5;5;5;5;3;5
faste coffee ahmad yani;5;5;5;5;3;5
aimo by daja;5;5;5;5;3;5
enpos coffee;5;5;5;5;3;5
els coffee roastery;5;5;5;5;3;5
around the eighty eight;5;5;5;5;3;5
backyard milkbar;5;5;5;5;3;5
els coffee lampung walk;5;5;5;5;3;5
els coffee house;5;5;5;5;3;5
dunno coffee;5;5;5;5;3;5
dr. koffie sukarame;5;5;5;5;3;5
dotuku kopi;5;5;5;5;3;5
doesoen coffee;5;5;5;5;3;5
kongko kopitiam;5;5;5;5;3;5
dazzler store & coffee;5;5;5;5;3;5
bun kopi rawa laut;5;5;5;5;3;5
bun kopi unila;5;5;5;5;3;5
bun kopi wayhalim;5;5;5;5;3;5
cabrio coffee itera;5;5;5;5;3;5
bun kopi korpi;5;5;5;5;3;5
cafe janji surga 2;5;5;5;5;3;5
faste coffee signature;5;5;5;5;3;5
cafe kiyo;5;5;5;5;3;5
boja coffee;5;5;5;5;3;5
bento kopi;5;5;5;5;3;5
coffee shop jangdoel;5;5;5;5;3;5
benefit coffee & space;5;5;5;5;3;5
daja;5;5;5;5;3;5
benefit coffee & sapace sukarame;5;5;5;5;3;5
bun kopi kedaton;5;5;5;5;3;5
faste coffee unila;5;5;5;5;3;5
faste coffee enggal;5;5;5;5;3;5
bun kopi marotai;5;5;5;5;3;5
kiyo pahoman;5;5;5;5;3;5
20 kopi rawa laut;5;5;5;5;3;5
kedai kopi kini;5;5;5;5;3;5
20 kopi teuku umar;5;5;5;5;3;5
20 kopi tritayasa;5;5;5;5;3;5
20 kopi wolter monginsidi;5;5;5;5;3;5
kedai atap;5;5;5;5;3;5
katama coffee & space;5;5;5;5;3;5
20+ kopi pramuka;5;5;5;5;3;5
flambojan;5;5;5;5;3;5
kali cafe;5;5;5;5;3;5
kala coffee & space;5;5;5;5;3;5
52 resonance;5;5;5;5;3;5
411.foureleven;5;5;5;5;3;5
fore coffee ahmad yani;5;5;5;5;3;5
jebe coffee express;5;5;5;5;3;5
fore coffee antasari;5;5;5;5;3;5
adiksi coffee korpri;5;5;5;5;3;5
janji jiwa unila;5;5;5;5;3;5
kl coffee indonesia;5;5;5;5;3;5
20 kopi ratu langi;5;5;5;5;3;5
hum! collaboration space;5;5;5;5;3;5
hoffmann lane;5;5;5;5;3;5
kolo garden;5;5;5;5;3;5
jenggala coffee and brew;5;5;4;5;3;5
fore coffee mbk;5;5;4;5;3;5
starbucks mbk;5;5;4;5;3;5
one more coffee;5;5;4;5;3;5
small block coffee;5;5;4;5;3;5
kopi ketje mall kartini;5;5;4;5;3;5
kopi tempat ketiga sukarame;5;5;4;5;3;5
20 kopi sultan agung;4;4;5;4;3;4
tomoro coffee antasari;4;4;5;4;3;4
tazza signature;4;4;5;4;3;4
test coffee17;4;4;5;4;3;4
thamie pahoman;4;4;5;4;3;4
24 degress;4;4;5;4;3;4
theree nine coffee & eatery;4;4;5;4;3;4
9.1 coffee;4;4;5;4;3;4
tomoro coffee pahoman;4;4;5;4;3;4
adiksi coffee purnawirawan;4;4;5;4;3;4
vezco gedong air;4;4;5;4;3;4
the pearl;4;4;5;4;3;4
kopi janji jiwa imam bonjol;4;4;5;4;3;4
manca eatery;4;4;5;4;3;4
kopi kenangan kedaton;4;4;5;4;3;4
kiyo time pramuka;4;4;5;4;3;4
kiyo libare korpri & 51 carwash;4;4;5;4;3;4
kiyo libare;4;4;5;4;3;4
kopi koccok;4;4;5;4;3;4
kopi oey lampung;4;4;5;4;3;4
kopi sheo x donat eo antasari;4;4;5;4;3;4
kafe santurasi;4;4;5;4;3;4
janji jiwa & jiwa toast sukarame;4;4;5;4;3;4
cabrio premier coffee;4;4;5;4;3;4
flipflop coffee;4;4;5;4;3;4
nnoko café;4;4;5;4;3;4
kopi sheo x dinat eo kemiling;4;4;5;4;3;4
els coffee raden inten II;4;4;5;4;3;4
rumah kawan 3;4;4;5;4;3;4
cafe kolo;4;4;5;4;3;4
cafe kopi legend;4;4;5;4;3;4
notiz hut;4;4;5;4;3;4
day one coffee;4;4;5;4;3;4
dahareun;4;4;5;4;3;4
panacea coffee;4;4;5;4;3;4
d'jaya house;4;4;5;4;3;4
els coffee mbk;4;4;5;4;3;4
kopi tempat ketiga;4;4;4;4;3;4
kopitiam uncle;3;3;5;3;3;3
ice & coffee;3;3;5;3;3;3
rumah kawan ;3;3;5;3;3;3
rumah kawan 2;3;3;5;3;3;3
yaba house;3;3;5;3;3;3
rumah kawan 4;3;3;5;3;3;3
kopi ketje unila;2;2;5;2;3;2
